index,name,type,height,weight,abilities,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed
19,rattata,normal,0.3,3.5,run-away / guts,hustle,30,56,35,25,35,72
19,rattata-alola,dark / normal,0.3,3.8,gluttony / hustle,thick-fat,30,56,35,25,35,72
20,raticate,normal,0.7,18.5,run-away / guts,hustle,55,81,60,50,70,97
20,raticate-alola,dark / normal,0.7,25.5,gluttony / hustle,thick-fat,75,71,70,40,80,77
20,raticate-totem-alola,dark / normal,1.4,105.0,gluttony / hustle,thick-fat,75,71,70,40,80,77
21,spearow,normal / flying,0.3,2.0,keen-eye,sniper,40,60,30,31,31,70
22,fearow,normal / flying,1.2,38.0,keen-eye,sniper,65,90,65,61,61,100
23,ekans,poison,2.0,6.9,intimidate / shed-skin,unnerve,35,60,44,40,54,55
24,arbok,poison,3.5,65.0,intimidate / shed-skin,unnerve,60,95,69,65,79,80
25,pikachu,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-rock-star,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-belle,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-pop-star,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-phd,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-libre,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-cosplay,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-original-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-hoenn-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-sinnoh-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-unova-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-kalos-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-alola-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-partner-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-starter,electric,0.4,6.0,static,lightning-rod,45,80,50,75,60,120
25,pikachu-world-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-gmax,electric,21.0,1000.0,static,lightning-rod,35,55,40,50,50,90
26,raichu,electric,0.8,30.0,static,lightning-rod,60,90,55,90,80,110
26,raichu-alola,electric / psychic,0.7,21.0,surge-surfer,,60,85,50,95,85,110
27,sandshrew,ground,0.6,12.0,sand-veil,sand-rush,50,75,85,20,30,40
27,sandshrew-alola,ice / steel,0.7,40.0,snow-cloak,slush-rush,50,75,90,10,35,40
28,sandslash,ground,1.0,29.5,sand-veil,sand-rush,75,100,110,45,55,65
28,sandslash-alola,ice / steel,1.2,55.0,snow-cloak,slush-rush,75,100,120,25,65,65
29,nidoran-f,poison,0.4,7.0,poison-point / rivalry,hustle,55,47,52,40,40,41
30,nidorina,poison,0.8,20.0,poison-point / rivalry,hustle,70,62,67,55,55,56
31,nidoqueen,poison / ground,1.3,60.0,poison-point / rivalry,sheer-force,90,92,87,75,85,76
32,nidoran-m,poison,0.5,9.0,poison-point / rivalry,hustle,46,57,40,40,40,50
33,nidorino,poison,0.9,19.5,poison-point / rivalry,hustle,61,72,57,55,55,65
34,nidoking,poison / ground,1.4,62.0,poison-point / rivalry,sheer-force,81,102,77,85,75,85
35,clefairy,fairy,0.6,7.5,cute-charm / magic-guard,friend-guard,70,45,48,60,65,35
36,clefable,fairy,1.3,40.0,cute-charm / magic-guard,unaware,95,70,73,95,90,60
37,vulpix,fire,0.6,9.9,flash-fire,drought,38,41,40,50,65,65
37,vulpix-alola,ice,0.6,9.9,snow-cloak,snow-warning,38,41,40,50,65,65
38,ninetales,fire,1.1,19.9,flash-fire,drought,73,76,75,81,100,100
38,ninetales-alola,ice / fairy,1.1,19.9,snow-cloak,snow-warning,73,67,75,81,100,109
39,jigglypuff,normal / fairy,0.5,5.5,cute-charm / competitive,friend-guard,115,45,20,45,25,20
40,wigglytuff,normal / fairy,1.0,12.0,cute-charm / competitive,frisk,140,70,45,85,50,45
41,zubat,poison / flying,0.8,7.5,inner-focus,infiltrator,40,45,35,30,40,55
42,golbat,poison / flying,1.6,55.0,inner-focus,infiltrator,75,80,70,65,75,90
43,oddish,grass / poison,0.5,5.4,chlorophyll,run-away,45,50,55,75,65,30
44,gloom,grass / poison,0.8,8.6,chlorophyll,stench,60,65,70,85,75,40
45,vileplume,grass / poison,1.2,18.6,chlorophyll,effect-spore,75,80,85,110,90,50
46,paras,bug / grass,0.3,5.4,effect-spore / dry-skin,damp,35,70,55,45,55,25
47,parasect,bug / grass,1.0,29.5,effect-spore / dry-skin,damp,60,95,80,60,80,30
48,venonat,bug / poison,1.0,30.0,compound-eyes / tinted-lens,run-away,60,55,50,40,55,45
49,venomoth,bug / poison,1.5,12.5,shield-dust / tinted-lens,wonder-skin,70,65,60,90,75,90
50,diglett,ground,0.2,0.8,sand-veil / arena-trap,sand-force,10,55,25,35,45,95
50,diglett-alola,ground / steel,0.2,1.0,sand-veil / tangling-hair,sand-force,10,55,30,35,45,90
51,dugtrio,ground,0.7,33.3,sand-veil / arena-trap,sand-force,35,100,50,50,70,120
51,dugtrio-alola,ground / steel,0.7,66.6,sand-veil / tangling-hair,sand-force,35,100,60,50,70,110
52,meowth,normal,0.4,4.2,pickup / technician,unnerve,40,45,35,40,40,90
52,meowth-alola,dark,0.4,4.2,pickup / technician,rattled,40,35,35,50,40,90
52,meowth-galar,steel,0.4,7.5,pickup / tough-claws,unnerve,50,65,55,40,40,40
52,meowth-gmax,normal,33.0,1000.0,pickup / technician,unnerve,40,45,35,40,40,90
53,persian,normal,1.0,32.0,limber / technician,unnerve,65,70,60,65,65,115
53,persian-alola,dark,1.1,33.0,fur-coat / technician,rattled,65,60,60,75,65,115
54,psyduck,water,0.8,19.6,damp / cloud-nine,swift-swim,50,52,48,65,50,55
55,golduck,water,1.7,76.6,damp / cloud-nine,swift-swim,80,82,78,95,80,85
56,mankey,fighting,0.5,28.0,vital-spirit / anger-point,defiant,40,80,35,35,45,70
57,primeape,fighting,1.0,32.0,vital-spirit / anger-point,defiant,65,105,60,60,70,95
58,growlithe,fire,0.7,19.0,intimidate / flash-fire,justified,55,70,45,70,50,60
58,growlithe-hisui,fire / rock,0.8,22.7,intimidate / flash-fire,rock-head,60,75,45,65,50,55
59,arcanine,fire,1.9,155.0,intimidate / flash-fire,justified,90,110,80,100,80,95
59,arcanine-hisui,fire / rock,2.0,168.0,intimidate / flash-fire,rock-head,95,115,80,95,80,90
60,poliwag,water,0.6,12.4,water-absorb / damp,swift-swim,40,50,40,40,40,90
61,poliwhirl,water,1.0,20.0,water-absorb / damp,swift-swim,65,65,65,50,50,90
62,poliwrath,water / fighting,1.3,54.0,water-absorb / damp,swift-swim,90,95,95,70,90,70
63,abra,psychic,0.9,19.5,synchronize / inner-focus,magic-guard,25,20,15,105,55,90
64,kadabra,psychic,1.3,56.5,synchronize / inner-focus,magic-guard,40,35,30,120,70,105
65,alakazam,psychic,1.5,48.0,synchronize / inner-focus,magic-guard,55,50,45,135,95,120
65,alakazam-mega,psychic,1.2,48.0,trace,,55,50,65,175,105,150
66,machop,fighting,0.8,19.5,guts / no-guard,steadfast,70,80,50,35,35,35
67,machoke,fighting,1.5,70.5,guts / no-guard,steadfast,80,100,70,50,60,45
68,machamp,fighting,1.6,130.0,guts / no-guard,steadfast,90,130,80,65,85,55
68,machamp-gmax,fighting,25.0,1000.0,guts / no-guard,steadfast,90,130,80,65,85,55
69,bellsprout,grass / poison,0.7,4.0,chlorophyll,gluttony,50,75,35,70,30,40
70,weepinbell,grass / poison,1.0,6.4,chlorophyll,gluttony,65,90,50,85,45,55
71,victreebel,grass / poison,1.7,15.5,chlorophyll,gluttony,80,105,65,100,70,70
72,tentacool,water / poison,0.9,45.5,clear-body / liquid-ooze,rain-dish,40,40,35,50,100,70
73,tentacruel,water / poison,1.6,55.0,clear-body / liquid-ooze,rain-dish,80,70,65,80,120,100
74,geodude,rock / ground,0.4,20.0,rock-head / sturdy,sand-veil,40,80,100,30,30,20
74,geodude-alola,rock / electric,0.4,20.3,magnet-pull / sturdy,galvanize,40,80,100,30,30,20
75,graveler,rock / ground,1.0,105.0,rock-head / sturdy,sand-veil,55,95,115,45,45,35
75,graveler-alola,rock / electric,1.0,110.0,magnet-pull / sturdy,galvanize,55,95,115,45,45,35
76,golem,rock / ground,1.4,300.0,rock-head / sturdy,sand-veil,80,120,130,55,65,45
76,golem-alola,rock / electric,1.7,316.0,magnet-pull / sturdy,galvanize,80,120,130,55,65,45
77,ponyta,fire,1.0,30.0,run-away / flash-fire,flame-body,50,85,55,65,65,90
77,ponyta-galar,psychic,0.8,24.0,run-away / pastel-veil,anticipation,50,85,55,65,65,90
78,rapidash,fire,1.7,95.0,run-away / flash-fire,flame-body,65,100,70,80,80,105
78,rapidash-galar,psychic / fairy,1.7,80.0,run-away / pastel-veil,anticipation,65,100,70,80,80,105
79,slowpoke,water / psychic,1.2,36.0,oblivious / own-tempo,regenerator,90,65,65,40,40,15
79,slowpoke-galar,psychic,1.2,36.0,gluttony / own-tempo,regenerator,90,65,65,40,40,15
80,slowbro,water / psychic,1.6,78.5,oblivious / own-tempo,regenerator,95,75,110,100,80,30
80,slowbro-mega,water / psychic,2.0,120.0,shell-armor,,95,75,180,130,80,30
80,slowbro-galar,poison / psychic,1.6,70.5,quick-draw / own-tempo,regenerator,95,100,95,100,70,30
81,magnemite,electric / steel,0.3,6.0,magnet-pull / sturdy,analytic,25,35,70,95,55,45
82,magneton,electric / steel,1.0,60.0,magnet-pull / sturdy,analytic,50,60,95,120,70,70
83,farfetchd,normal / flying,0.8,15.0,keen-eye / inner-focus,defiant,52,90,55,58,62,60
83,farfetchd-galar,fighting,0.8,42.0,steadfast,scrappy,52,95,55,58,62,55
84,doduo,normal / flying,1.4,39.2,run-away / early-bird,tangled-feet,35,85,45,35,35,75
85,dodrio,normal / flying,1.8,85.2,run-away / early-bird,tangled-feet,60,110,70,60,60,110
86,seel,water,1.1,90.0,thick-fat / hydration,ice-body,65,45,55,45,70,45
87,dewgong,water / ice,1.7,120.0,thick-fat / hydration,ice-body,90,70,80,70,95,70
88,grimer,poison,0.9,30.0,stench / sticky-hold,poison-touch,80,80,50,40,50,25
88,grimer-alola,poison / dark,0.7,42.0,poison-touch / gluttony,power-of-alchemy,80,80,50,40,50,25
89,muk,poison,1.2,30.0,stench / sticky-hold,poison-touch,105,105,75,65,100,50
89,muk-alola,poison / dark,1.0,52.0,poison-touch / gluttony,power-of-alchemy,105,105,75,65,100,50
90,shellder,water,0.3,4.0,shell-armor / skill-link,overcoat,30,65,100,45,25,40
91,cloyster,water / ice,1.5,132.5,shell-armor / skill-link,overcoat,50,95,180,85,45,70
92,gastly,ghost / poison,1.3,0.1,levitate,,30,35,30,100,35,80
93,haunter,ghost / poison,1.6,0.1,levitate,,45,50,45,115,55,95
94,gengar,ghost / poison,1.5,40.5,cursed-body,,60,65,60,130,75,110
94,gengar-mega,ghost / poison,1.4,40.5,shadow-tag,,60,65,80,170,95,130
94,gengar-gmax,ghost / poison,20.0,1000.0,cursed-body,,60,65,60,130,75,110
95,onix,rock / ground,8.8,210.0,rock-head / sturdy,weak-armor,35,45,160,30,45,70
96,drowzee,psychic,1.0,32.4,insomnia / forewarn,inner-focus,60,48,45,43,90,42
97,hypno,psychic,1.6,75.6,insomnia / forewarn,inner-focus,85,73,70,73,115,67
98,krabby,water,0.4,6.5,hyper-cutter / shell-armor,sheer-force,30,105,90,25,25,50
99,kingler,water,1.3,60.0,hyper-cutter / shell-armor,sheer-force,55,130,115,50,50,75
99,kingler-gmax,water,19.0,1000.0,hyper-cutter / shell-armor,sheer-force,55,130,115,50,50,75
100,voltorb,electric,0.5,10.4,soundproof / static,aftermath,40,30,50,55,55,100
100,voltorb-hisui,electric / grass,0.5,13.0,soundproof / static,aftermath,40,30,50,55,55,100
101,electrode,electric,1.2,66.6,soundproof / static,aftermath,60,50,70,80,80,150
101,electrode-hisui,electric / grass,1.2,71.0,soundproof / static,aftermath,60,50,70,80,80,150
102,exeggcute,grass / psychic,0.4,2.5,chlorophyll,harvest,60,40,80,60,45,40
103,exeggutor,grass / psychic,2.0,120.0,chlorophyll,harvest,95,95,85,125,75,55
103,exeggutor-alola,grass / dragon,10.9,415.6,frisk,harvest,95,105,85,125,75,45
104,cubone,ground,0.4,6.5,rock-head / lightning-rod,battle-armor,50,50,95,40,50,35
105,marowak,ground,1.0,45.0,rock-head / lightning-rod,battle-armor,60,80,110,50,80,45
105,marowak-alola,fire / ghost,1.0,34.0,cursed-body / lightning-rod,rock-head,60,80,110,50,80,45
105,marowak-totem,fire / ghost,1.7,98.0,cursed-body / lightning-rod,rock-head,60,80,110,50,80,45
106,hitmonlee,fighting,1.5,49.8,limber / reckless,unburden,50,120,53,35,110,87
107,hitmonchan,fighting,1.4,50.2,keen-eye / iron-fist,inner-focus,50,105,79,35,110,76
108,lickitung,normal,1.2,65.5,own-tempo / oblivious,cloud-nine,90,55,75,60,75,30
109,koffing,poison,0.6,1.0,levitate / neutralizing-gas,stench,40,65,95,60,45,35
110,weezing,poison,1.2,9.5,levitate / neutralizing-gas,stench,65,90,120,85,70,60
110,weezing-galar,poison / fairy,3.0,16.0,levitate / neutralizing-gas,misty-surge,65,90,120,85,70,60
111,rhyhorn,ground / rock,1.0,115.0,lightning-rod / rock-head,reckless,80,85,95,30,30,25
112,rhydon,ground / rock,1.9,120.0,lightning-rod / rock-head,reckless,105,130,120,45,45,40
113,chansey,normal,1.1,34.6,natural-cure / serene-grace,healer,250,5,5,35,105,50
114,tangela,grass,1.0,35.0,chlorophyll / leaf-guard,regenerator,65,55,115,100,40,60
115,kangaskhan,normal,2.2,80.0,early-bird / scrappy,inner-focus,105,95,80,40,80,90
115,kangaskhan-mega,normal,2.2,100.0,parental-bond,,105,125,100,60,100,100
116,horsea,water,0.4,8.0,swift-swim / sniper,damp,30,40,70,70,25,60
117,seadra,water,1.2,25.0,poison-point / sniper,damp,55,65,95,95,45,85
118,goldeen,water,0.6,15.0,swift-swim / water-veil,lightning-rod,45,67,60,35,50,63
119,seaking,water,1.3,39.0,swift-swim / water-veil,lightning-rod,80,92,65,65,80,68
120,staryu,water,0.8,34.5,illuminate / natural-cure,analytic,30,45,55,70,55,85
121,starmie,water / psychic,1.1,80.0,illuminate / natural-cure,analytic,60,75,85,100,85,115
122,mr-mime,psychic / fairy,1.3,54.5,soundproof / filter,technician,40,45,65,100,120,90
122,mr-mime-galar,ice / psychic,1.4,56.8,vital-spirit / screen-cleaner,ice-body,50,65,65,90,90,100
123,scyther,bug / flying,1.5,56.0,swarm / technician,steadfast,70,110,80,55,80,105
124,jynx,ice / psychic,1.4,40.6,oblivious / forewarn,dry-skin,65,50,35,115,95,95
125,electabuzz,electric,1.1,30.0,static,vital-spirit,65,83,57,95,85,105
126,magmar,fire,1.3,44.5,flame-body,vital-spirit,65,95,57,100,85,93
127,pinsir,bug,1.5,55.0,hyper-cutter / mold-breaker,moxie,65,125,100,55,70,85
127,pinsir-mega,bug / flying,1.7,59.0,aerilate,,65,155,120,65,90,105
128,tauros,normal,1.4,88.4,intimidate / anger-point,sheer-force,75,100,95,40,70,110
128,tauros-paldea-combat-breed,fighting,1.4,115.0,intimidate / anger-point,cud-chew,75,110,105,30,70,100
128,tauros-paldea-blaze-breed,fighting / fire,1.4,85.0,intimidate / anger-point,cud-chew,75,110,105,30,70,100
128,tauros-paldea-aqua-breed,fighting / water,1.4,110.0,intimidate / anger-point,cud-chew,75,110,105,30,70,100
129,magikarp,water,0.9,10.0,swift-swim,rattled,20,10,55,15,20,80
130,gyarados,water / flying,6.5,235.0,intimidate,moxie,95,125,79,60,100,81
130,gyarados-mega,water / dark,6.5,305.0,mold-breaker,,95,155,109,70,130,81
131,lapras,water / ice,2.5,220.0,water-absorb / shell-armor,hydration,130,85,80,85,95,60
131,lapras-gmax,water / ice,24.0,1000.0,water-absorb / shell-armor,hydration,130,85,80,85,95,60
132,ditto,normal,0.3,4.0,limber,imposter,48,48,48,48,48,48
133,eevee,normal,0.3,6.5,run-away / adaptability,anticipation,55,55,50,45,65,55
133,eevee-starter,normal,0.3,6.5,run-away / adaptability,anticipation,65,75,70,65,85,75
133,eevee-gmax,normal,18.0,1000.0,run-away / adaptability,anticipation,55,55,50,45,65,55
134,vaporeon,water,1.0,29.0,water-absorb,hydration,130,65,60,110,95,65
135,jolteon,electric,0.8,24.5,volt-absorb,quick-feet,65,65,60,110,95,130
136,flareon,fire,0.9,25.0,flash-fire,guts,65,130,60,95,110,65
137,porygon,normal,0.8,36.5,trace / download,analytic,65,60,70,85,75,40
138,omanyte,rock / water,0.4,7.5,swift-swim / shell-armor,weak-armor,35,40,100,90,55,35
139,omastar,rock / water,1.0,35.0,swift-swim / shell-armor,weak-armor,70,60,125,115,70,55
140,kabuto,rock / water,0.5,11.5,swift-swim / battle-armor,weak-armor,30,80,90,55,45,55
141,kabutops,rock / water,1.3,40.5,swift-swim / battle-armor,weak-armor,60,115,105,65,70,80
142,aerodactyl,rock / flying,1.8,59.0,rock-head / pressure,unnerve,80,105,65,60,75,130
142,aerodactyl-mega,rock / flying,2.1,79.0,tough-claws,,80,135,85,70,95,150
143,snorlax,normal,2.1,460.0,immunity / thick-fat,gluttony,160,110,65,65,110,30
143,snorlax-gmax,normal,35.0,1000.0,immunity / thick-fat,gluttony,160,110,65,65,110,30
144,articuno,ice / flying,1.7,55.4,pressure,snow-cloak,90,85,100,95,125,85
144,articuno-galar,psychic / flying,1.7,50.9,competitive,,90,85,85,125,100,95
145,zapdos,electric / flying,1.6,52.6,pressure,static,90,90,85,125,90,100
145,zapdos-galar,fighting / flying,1.6,58.2,defiant,,90,125,90,85,90,100
146,moltres,fire / flying,2.0,60.0,pressure,flame-body,90,100,90,125,85,90
146,moltres-galar,dark / flying,2.0,66.0,berserk,,90,85,90,100,125,90
147,dratini,dragon,1.8,3.3,shed-skin,marvel-scale,41,64,45,50,50,50
148,dragonair,dragon,4.0,16.5,shed-skin,marvel-scale,61,84,65,70,70,70
149,dragonite,dragon / flying,2.2,210.0,inner-focus,multiscale,91,134,95,100,100,80
150,mewtwo,psychic,2.0,122.0,pressure,unnerve,106,110,90,154,90,130
150,mewtwo-mega-x,psychic / fighting,2.3,127.0,steadfast,,106,190,100,154,100,130
150,mewtwo-mega-y,psychic,1.5,33.0,insomnia,,106,150,70,194,120,140
151,mew,psychic,0.4,4.0,synchronize,,100,100,100,100,100,100
152,chikorita,grass,0.9,6.4,overgrow,leaf-guard,45,49,65,49,65,45
153,bayleef,grass,1.2,15.8,overgrow,leaf-guard,60,62,80,63,80,60
154,meganium,grass,1.8,100.5,overgrow,leaf-guard,80,82,100,83,100,80
155,cyndaquil,fire,0.5,7.9,blaze,flash-fire,39,52,43,60,50,65
156,quilava,fire,0.9,19.0,blaze,flash-fire,58,64,58,80,65,80
157,typhlosion,fire,1.7,79.5,blaze,flash-fire,78,84,78,109,85,100
157,typhlosion-hisui,fire / ghost,1.6,69.8,blaze,frisk,73,84,78,119,85,95
158,totodile,water,0.6,9.5,torrent,sheer-force,50,65,64,44,48,43
159,croconaw,water,1.1,25.0,torrent,sheer-force,65,80,80,59,63,58
160,feraligatr,water,2.3,88.8,torrent,sheer-force,85,105,100,79,83,78
161,sentret,normal,0.8,6.0,run-away / keen-eye,frisk,35,46,34,35,45,20
162,furret,normal,1.8,32.5,run-away / keen-eye,frisk,85,76,64,45,55,90
163,hoothoot,normal / flying,0.7,21.2,insomnia / keen-eye,tinted-lens,60,30,30,36,56,50
164,noctowl,normal / flying,1.6,40.8,insomnia / keen-eye,tinted-lens,100,50,50,86,96,70
165,ledyba,bug / flying,1.0,10.8,swarm / early-bird,rattled,40,20,30,40,80,55
166,ledian,bug / flying,1.4,35.6,swarm / early-bird,iron-fist,55,35,50,55,110,85
167,spinarak,bug / poison,0.5,8.5,swarm / insomnia,sniper,40,60,40,40,40,30
168,ariados,bug / poison,1.1,33.5,swarm / insomnia,sniper,70,90,70,60,70,40
169,crobat,poison / flying,1.8,75.0,inner-focus,infiltrator,85,90,80,70,80,130
170,chinchou,water / electric,0.5,12.0,volt-absorb / illuminate,water-absorb,75,38,38,56,56,67
171,lanturn,water / electric,1.2,22.5,volt-absorb / illuminate,water-absorb,125,58,58,76,76,67
172,pichu,electric,0.3,2.0,static,lightning-rod,20,40,15,35,35,60
173,cleffa,fairy,0.3,3.0,cute-charm / magic-guard,friend-guard,50,25,28,45,55,15
174,igglybuff,normal / fairy,0.3,1.0,cute-charm / competitive,friend-guard,90,30,15,40,20,15
175,togepi,fairy,0.3,1.5,hustle / serene-grace,super-luck,35,20,65,40,65,20
176,togetic,fairy / flying,0.6,3.2,hustle / serene-grace,super-luck,55,40,85,80,105,40
177,natu,psychic / flying,0.2,2.0,synchronize / early-bird,magic-bounce,40,50,45,70,45,70
178,xatu,psychic / flying,1.5,15.0,synchronize / early-bird,magic-bounce,65,75,70,95,70,95
179,mareep,electric,0.6,7.8,static,plus,55,40,40,65,45,35
180,flaaffy,electric,0.8,13.3,static,plus,70,55,55,80,60,45
181,ampharos,electric,1.4,61.5,static,plus,90,75,85,115,90,55
181,ampharos-mega,electric / dragon,1.4,61.5,mold-breaker,,90,95,105,165,110,45
182,bellossom,grass,0.4,5.8,chlorophyll,healer,75,80,95,90,100,50
183,marill,water / fairy,0.4,8.5,thick-fat / huge-power,sap-sipper,70,20,50,20,50,40
184,azumarill,water / fairy,0.8,28.5,thick-fat / huge-power,sap-sipper,100,50,80,60,80,50
185,sudowoodo,rock,1.2,38.0,sturdy / rock-head,rattled,70,100,115,30,65,30
186,politoed,water,1.1,33.9,water-absorb / damp,drizzle,90,75,75,90,100,70
187,hoppip,grass / flying,0.4,0.5,chlorophyll / leaf-guard,infiltrator,35,35,40,35,55,50
188,skiploom,grass / flying,0.6,1.0,chlorophyll / leaf-guard,infiltrator,55,45,50,45,65,80
189,jumpluff,grass / flying,0.8,3.0,chlorophyll / leaf-guard,infiltrator,75,55,70,55,95,110
190,aipom,normal,0.8,11.5,run-away / pickup,skill-link,55,70,55,40,55,85
191,sunkern,grass,0.3,1.8,chlorophyll / solar-power,early-bird,30,30,30,30,30,30
192,sunflora,grass,0.8,8.5,chlorophyll / solar-power,early-bird,75,75,55,105,85,30
193,yanma,bug / flying,1.2,38.0,speed-boost / compound-eyes,frisk,65,65,45,75,45,95
194,wooper,water / ground,0.4,8.5,damp / water-absorb,unaware,55,45,45,25,25,15
194,wooper-paldea,poison / ground,0.4,11.0,poison-point / water-absorb,unaware,55,45,45,25,25,15
195,quagsire,water / ground,1.4,75.0,damp / water-absorb,unaware,95,85,85,65,65,35
196,espeon,psychic,0.9,26.5,synchronize,magic-bounce,65,65,60,130,95,110
197,umbreon,dark,1.0,27.0,synchronize,inner-focus,95,65,110,60,130,65
198,murkrow,dark / flying,0.5,2.1,insomnia / super-luck,prankster,60,85,42,85,42,91
199,slowking,water / psychic,2.0,79.5,oblivious / own-tempo,regenerator,95,75,80,100,110,30
199,slowking-galar,poison / psychic,1.8,79.5,curious-medicine / own-tempo,regenerator,95,65,80,110,110,30
200,misdreavus,ghost,0.7,1.0,levitate,,60,60,60,85,85,85
201,unown,psychic,0.5,5.0,levitate,,48,72,48,72,48,48
202,wobbuffet,psychic,1.3,28.5,shadow-tag,telepathy,190,33,58,33,58,33
203,girafarig,normal / psychic,1.5,41.5,inner-focus / early-bird,sap-sipper,70,80,65,90,65,85
204,pineco,bug,0.6,7.2,sturdy,overcoat,50,65,90,35,35,15
205,forretress,bug / steel,1.2,125.8,sturdy,overcoat,75,90,140,60,60,40
206,dunsparce,normal,1.5,14.0,serene-grace / run-away,rattled,100,70,70,65,65,45
207,gligar,ground / flying,1.1,64.8,hyper-cutter / sand-veil,immunity,65,75,105,35,65,85
208,steelix,steel / ground,9.2,400.0,rock-head / sturdy,sheer-force,75,85,200,55,65,30
208,steelix-mega,steel / ground,10.5,740.0,sand-force,,75,125,230,55,95,30
209,snubbull,fairy,0.6,7.8,intimidate / run-away,rattled,60,80,50,40,40,30
210,granbull,fairy,1.4,48.7,intimidate / quick-feet,rattled,90,120,75,60,60,45
211,qwilfish,water / poison,0.5,3.9,poison-point / swift-swim,intimidate,65,95,85,55,55,85
211,qwilfish-hisui,dark / poison,0.5,3.9,poison-point / swift-swim,intimidate,65,95,85,55,55,85
212,scizor,bug / steel,1.8,118.0,swarm / technician,light-metal,70,130,100,55,80,65
212,scizor-mega,bug / steel,2.0,125.0,technician,,70,150,140,65,100,75
213,shuckle,bug / rock,0.6,20.5,sturdy / gluttony,contrary,20,10,230,10,230,5
214,heracross,bug / fighting,1.5,54.0,swarm / guts,moxie,80,125,75,40,95,85
214,heracross-mega,bug / fighting,1.7,62.5,skill-link,,80,185,115,40,105,75
215,sneasel,dark / ice,0.9,28.0,inner-focus / keen-eye,pickpocket,55,95,55,35,75,115
